,genre_list
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Quiz/Trivia', 'Adventure', 'Visual Novel']",1
"['Fighting', 'Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",1
"['Shooter', 'Puzzle', 'Sport']",1
"['Fighting', 'Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Puzzle', 'Racing', 'Simulator', 'Indie', 'Arcade']",1
"['Point-and-click', 'Simulator', 'Adventure', 'Visual Novel']",1
"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Visual Novel']",1
"['Shooter', 'Racing', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",1
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']",1
"['Platform', 'Puzzle', 'Sport']",1
"['Fighting', 'Platform', 'Adventure', 'Indie']",1
"['Arcade', 'MOBA']",1
"['Shooter', 'Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",1
"['Puzzle', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Platform', 'Puzzle', 'Pinball', 'Adventure', 'Indie', 'Arcade']",1
"['Shooter', 'Puzzle', 'Racing', 'Strategy', 'Indie', 'Arcade']",1
"['Platform', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie', 'Arcade']",1
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie', 'Arcade']",1
"['Shooter', 'Simulator', 'Sport', 'Adventure', 'Arcade']",1
"['Racing', 'Simulator', 'Sport', 'Strategy', 'Quiz/Trivia']",1
"['Point-and-click', 'Tactical', 'Adventure', 'Indie']",1
"['Fighting', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Tactical']",1
"['Platform', 'Simulator', 'Sport', 'Adventure', 'Indie']",1
"['Fighting', 'Strategy', 'Adventure', 'Indie', 'Arcade']",1
"['Shooter', 'Simulator', 'Strategy', 'Tactical', 'Indie']",1
"['Real Time Strategy (RTS)', 'Strategy', 'Turn-based strategy (TBS)', 'Arcade']",1
"['Shooter', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",1
"['Role-playing (RPG)', 'Sport', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",1
"['Puzzle', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",1
"['Puzzle', 'Quiz/Trivia', 'Indie']",1
"['Shooter', 'Role-playing (RPG)', 'Tactical', 'Adventure', 'Indie']",1
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Card & Board Game']",1
"['Fighting', 'Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",1
"['Puzzle', 'Strategy', 'Adventure', 'Visual Novel']",1
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",1
"['Tactical', 'Indie', 'Arcade']",1
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'Indie']",1
"['Fighting', 'Shooter', 'Platform', 'Adventure', 'Indie', 'Arcade']",1
"['Racing', 'Simulator', 'Sport', 'Strategy', 'Adventure', 'Indie', 'Arcade']",1
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', ""Hack and slash/Beat 'em up""]",1
"['Point-and-click', 'Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",1
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",1
"['Fighting', 'Shooter', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Point-and-click', 'Role-playing (RPG)', 'Strategy', 'Indie']",1
"['Puzzle', 'Racing', 'Simulator']",1
"['Puzzle', 'Racing', 'Role-playing (RPG)', 'Simulator', 'Sport', 'Strategy', 'Adventure', 'Indie']",1
"['Point-and-click', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",1
"['Shooter', 'Platform', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Adventure', 'Indie']",1
"['Role-playing (RPG)', 'Sport', ""Hack and slash/Beat 'em up"", 'Indie']",1
"['Simulator', 'Strategy', 'Tactical', 'Adventure', 'Indie']",1
"['Shooter', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Indie']",1
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Card & Board Game']",1
"['Puzzle', 'Simulator', 'Strategy', 'Arcade']",1
"['Platform', 'Puzzle', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Puzzle', 'Strategy', 'Tactical', 'Indie']",1
"['Platform', 'Puzzle', 'Tactical']",1
"['Tactical', 'Adventure', 'Arcade']",1
"['Point-and-click', 'Indie', 'Arcade']",1
"['Fighting', 'Shooter', 'Pinball', 'Indie', 'Arcade']",1
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Card & Board Game']",1
"['Platform', 'Puzzle', 'Simulator']",1
"['Shooter', 'Puzzle', 'Strategy', 'Tactical']",1
"['Platform', 'Simulator', 'Strategy', 'Pinball']",1
"['Shooter', 'Puzzle', 'Racing', 'Strategy', 'Quiz/Trivia']",1
"['Shooter', 'Puzzle', 'Simulator', 'Turn-based strategy (TBS)']",1
"['Racing', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",1
"['Fighting', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)']",1
"['Shooter', 'Music', 'Platform', 'Puzzle', 'Arcade']",1
"['Music', 'Adventure', 'Arcade']",1
"['Fighting', 'Role-playing (RPG)', 'Indie', 'Arcade']",1
"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Platform', 'Role-playing (RPG)', 'Simulator']",1
"['Fighting', 'Shooter', 'Real Time Strategy (RTS)', 'Strategy']",1
"['Shooter', 'Racing', 'Real Time Strategy (RTS)', 'Strategy']",1
"['Shooter', 'Racing', 'Real Time Strategy (RTS)', 'Strategy', 'Adventure']",1
"['Fighting', 'Shooter', 'Role-playing (RPG)', 'Sport', 'Strategy', 'Adventure']",1
"['Fighting', 'Shooter', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy']",1
"['Shooter', 'Puzzle', 'Sport', 'Strategy', 'Tactical']",1
"['Racing', 'Role-playing (RPG)', 'Strategy']",1
"['Pinball', 'Adventure', 'Indie', 'Arcade']",1
"['Puzzle', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",1
"['Fighting', 'Real Time Strategy (RTS)', 'Strategy', ""Hack and slash/Beat 'em up"", 'MOBA']",1
"['Sport', 'Turn-based strategy (TBS)', 'Card & Board Game']",1
"['Fighting', 'Shooter', 'Platform', 'Puzzle', 'Racing', 'Role-playing (RPG)', 'Strategy', 'Adventure']",1
"['Turn-based strategy (TBS)', ""Hack and slash/Beat 'em up""]",1
"['Fighting', 'Real Time Strategy (RTS)', 'Strategy']",1
"['Fighting', 'Strategy', 'Turn-based strategy (TBS)', 'Arcade']",1
"['Shooter', 'Platform', 'Strategy', 'Indie', 'Arcade']",1
"['Puzzle', 'Racing', 'Indie', 'Arcade']",1
"['Puzzle', 'Racing', 'Strategy', 'Indie', 'Arcade']",1
"['Fighting', 'Shooter', 'Puzzle', 'Adventure']",1
"['Music', 'Simulator', 'Adventure']",1
"['Platform', 'Strategy', 'Turn-based strategy (TBS)', 'Quiz/Trivia']",1
"['Fighting', 'Platform', 'Puzzle', 'Sport']",1
"['Sport', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",1
"['Fighting', 'Strategy', ""Hack and slash/Beat 'em up""]",1
"['Puzzle', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",1
"['Point-and-click', 'Music', 'Puzzle']",1
"['Role-playing (RPG)', 'Visual Novel']",1
"['Puzzle', 'Simulator', 'Adventure', 'Visual Novel']",1
"['Puzzle', 'Simulator', 'Turn-based strategy (TBS)', 'Quiz/Trivia']",1
"['Puzzle', 'Pinball', 'Adventure', 'Arcade']",1
"['Real Time Strategy (RTS)', 'Simulator', 'Indie']",1
"['Platform', 'Puzzle', 'Role-playing (RPG)', 'Sport', 'Turn-based strategy (TBS)', 'Quiz/Trivia', 'Adventure']",1
"['Puzzle', 'Simulator', 'Strategy', 'Card & Board Game']",1
"['Fighting', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Visual Novel']",1
"['Real Time Strategy (RTS)', ""Hack and slash/Beat 'em up""]",1
"['Fighting', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",1
"['Shooter', 'Pinball', 'Indie']",1
"['Platform', 'Puzzle', 'Racing', 'Sport']",1
"['Role-playing (RPG)', 'Tactical', 'Visual Novel']",1
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Tactical', 'Adventure', 'Indie']",1
"['Fighting', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",1
"['Fighting', 'Shooter', 'Strategy', 'Indie']",1
"['Shooter', 'Music', 'Quiz/Trivia', 'Indie', 'Arcade']",1
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",1
"['Shooter', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure']",1
"['Puzzle', 'Racing', 'Adventure', 'Indie', 'Visual Novel']",1
"['Puzzle', 'Role-playing (RPG)', 'Indie', 'Visual Novel']",1
"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel', 'Card & Board Game']",1
"['Fighting', 'Role-playing (RPG)', 'Simulator', 'Sport', ""Hack and slash/Beat 'em up"", 'Adventure']",1
"['Racing', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)']",1
"['Shooter', 'MOBA']",1
"['Platform', 'Puzzle', 'Strategy', 'Tactical', 'Indie']",1
"['Racing', 'Simulator', 'Sport', 'Adventure', 'Arcade']",1
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Quiz/Trivia', 'Adventure']",1
"['Puzzle', 'Sport', 'Strategy', 'Turn-based strategy (TBS)', 'Card & Board Game']",1
"['Point-and-click', 'Tactical', 'Indie', 'Arcade']",1
"['Simulator', 'Strategy', 'Adventure', 'Indie', 'Arcade']",1
"['Puzzle', 'Role-playing (RPG)', 'Tactical', 'Adventure', 'Indie']",1
"['Fighting', 'Shooter', 'Sport', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",1
"['Racing', 'Real Time Strategy (RTS)', 'Strategy']",1
"['Platform', 'Strategy', 'Card & Board Game']",1
"['Shooter', 'Music', 'Adventure', 'Indie']",1
"['Platform', 'Puzzle', 'Simulator', 'Strategy', 'Adventure']",1
"['Fighting', 'Real Time Strategy (RTS)', 'Sport', 'Strategy', 'Tactical']",1
"['Real Time Strategy (RTS)', 'Arcade']",1
"['Shooter', 'Platform', 'Puzzle', 'Strategy', 'Arcade']",1
"['Shooter', 'Puzzle', 'Strategy', 'Adventure', 'Indie']",1
"['Puzzle', 'Real Time Strategy (RTS)', 'Strategy', 'Tactical']",1
"['Point-and-click', 'Role-playing (RPG)', 'Simulator', 'Adventure']",1
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie', 'Arcade']",1
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",1
"['Music', 'Platform', 'Arcade']",1
"['Shooter', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Indie', 'Arcade']",1
"['Fighting', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",1
"['Shooter', 'Platform', 'Role-playing (RPG)', 'Strategy']",1
"['Music', 'Racing', 'Simulator', 'Sport', 'Adventure']",1
"['Point-and-click', 'Shooter', 'Adventure', 'Arcade']",1
"['Platform', 'Puzzle', 'Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",1
"['Point-and-click', 'Simulator', 'Strategy', 'Adventure']",1
"['Music', 'Platform', 'Real Time Strategy (RTS)', 'Adventure', 'Indie']",1
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",1
"['Simulator', ""Hack and slash/Beat 'em up"", 'Adventure']",1
"['Shooter', 'Platform', 'Puzzle', 'Racing', 'Sport', 'Adventure']",1
"['Shooter', 'Quiz/Trivia', 'Arcade']",1
"['Fighting', 'Puzzle', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",1
"['Platform', 'Pinball', 'Indie']",1
"['Fighting', 'Real Time Strategy (RTS)', 'Strategy', ""Hack and slash/Beat 'em up""]",1
"['Shooter', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Pinball']",1
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie', 'Arcade']",1
"['Fighting', 'Simulator', 'Strategy', 'Arcade']",1
"['Shooter', 'Simulator', 'Strategy', 'Tactical', 'Adventure']",1
"['Music', 'Racing', 'Adventure']",1
"['Fighting', 'Visual Novel']",1
"['Shooter', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Arcade']",1
"['Fighting', 'Simulator', 'Sport', 'Arcade']",1
"['Shooter', 'Music', 'Adventure']",1
"['Real Time Strategy (RTS)', 'Strategy', 'MOBA']",1
"['Fighting', 'Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure']",1
"['Tactical', 'Adventure', 'Indie']",1
"['Real Time Strategy (RTS)', 'Simulator', 'Adventure', 'Indie']",1
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Arcade']",1
"['Platform', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",1
"['Fighting', 'Shooter', 'Platform', ""Hack and slash/Beat 'em up""]",1
"['Role-playing (RPG)', 'Adventure', 'Indie', 'Card & Board Game']",1
"['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",1
"['Fighting', 'Shooter', 'Puzzle', 'Racing', 'Simulator', 'Sport', 'Strategy']",1
"['Shooter', 'Puzzle', 'Racing', 'Arcade']",1
"['Fighting', 'Simulator', ""Hack and slash/Beat 'em up"", 'Indie']",1
"['Fighting', 'Platform', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",1
"['Platform', 'Simulator', 'Tactical']",1
"['Shooter', 'Sport', 'Tactical', 'Adventure']",1
"['Role-playing (RPG)', 'Turn-based strategy (TBS)', ""Hack and slash/Beat 'em up"", 'Card & Board Game']",1
"['Role-playing (RPG)', 'Indie', 'Arcade', 'Card & Board Game']",1
"['Role-playing (RPG)', 'Simulator', 'Sport', 'Strategy', 'Indie']",1
"['Puzzle', ""Hack and slash/Beat 'em up""]",1
"['Fighting', 'Puzzle', 'Quiz/Trivia']",1
"['Puzzle', 'Simulator', 'Strategy', 'Quiz/Trivia', 'Card & Board Game']",1
"['Platform', ""Hack and slash/Beat 'em up"", 'Quiz/Trivia', 'Adventure', 'Card & Board Game']",1
"['Fighting', 'Simulator', 'Sport', 'Strategy', 'Turn-based strategy (TBS)']",1
"['Real Time Strategy (RTS)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",1
"['Shooter', 'Sport', 'Strategy', 'Indie', 'Arcade']",1
"['Platform', 'Puzzle', 'Turn-based strategy (TBS)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Point-and-click', 'Puzzle', 'Quiz/Trivia', 'Pinball']",1
"['Platform', 'Role-playing (RPG)', 'Simulator', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",1
"['Platform', 'Simulator', 'Indie']",1
"['Fighting', 'Racing', 'Arcade']",1
"['Puzzle', 'Real Time Strategy (RTS)', 'Strategy', 'Adventure', 'Indie']",1
"['Shooter', 'Racing', 'Strategy']",1
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Card & Board Game']",1
"['Shooter', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Arcade']",1
"['Tactical', 'Quiz/Trivia']",1
"['Puzzle', 'Role-playing (RPG)', 'Tactical']",1
"['Music', 'Puzzle', 'Strategy', 'Quiz/Trivia']",1
"['Fighting', 'Turn-based strategy (TBS)', 'Indie', 'Arcade']",1
"['Platform', 'Puzzle', 'Racing', 'Sport', 'Indie']",1
"['Simulator', 'Sport', 'Strategy', 'Quiz/Trivia']",1
"['Music', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Adventure']",1
"['Fighting', 'Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",1
"['Simulator', 'Sport', 'Quiz/Trivia']",1
"['Sport', 'Turn-based strategy (TBS)', 'Arcade']",1
"['Role-playing (RPG)', 'Strategy', 'MOBA']",1
"['Music', 'Racing']",1
"['Point-and-click', 'Real Time Strategy (RTS)']",1
"['Platform', 'Racing', 'Simulator', 'Strategy', 'Adventure']",1
"['Simulator', 'Sport', 'Strategy', 'Adventure', 'Arcade']",1
"['Fighting', 'Platform', 'Puzzle', 'Adventure']",1
"['Puzzle', 'Racing', 'Simulator', 'Sport', 'Strategy']",1
"['Role-playing (RPG)', 'Simulator', 'Turn-based strategy (TBS)']",1
"['Point-and-click', 'Indie']",1
"['Shooter', 'Puzzle', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",1
"['Puzzle', 'Quiz/Trivia', 'Arcade']",1
"['Shooter', 'Puzzle', 'Role-playing (RPG)']",1
"['Racing', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Arcade']",1
"['Point-and-click', 'Visual Novel']",1
"['Point-and-click', 'Sport', 'Strategy', 'Indie']",1
"['Point-and-click', 'Strategy', 'Tactical', 'Card & Board Game']",1
"['Shooter', 'Platform', 'Role-playing (RPG)', 'Adventure', 'Arcade']",1
"['Music', 'Platform', 'Adventure', 'Arcade']",1
"['Simulator', 'Sport', 'Strategy', 'Tactical']",1
"['Shooter', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Adventure']",1
"['Music', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy']",1
"['Puzzle', 'Sport', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",1
"['Tactical', 'Quiz/Trivia', 'Indie']",1
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', ""Hack and slash/Beat 'em up""]",1
"['Simulator', 'Quiz/Trivia', 'Card & Board Game']",1
"['Role-playing (RPG)', 'Adventure', 'Card & Board Game']",1
"['Puzzle', 'Simulator', 'Strategy', 'Pinball', 'Arcade']",1
"['Puzzle', 'Quiz/Trivia', 'Adventure']",1
"['Strategy', 'Visual Novel']",1
"['Adventure', 'Visual Novel', 'Card & Board Game']",1
"['Fighting', 'Platform', 'Role-playing (RPG)']",1
"['Racing', 'Role-playing (RPG)', 'Sport']",1
"['Platform', 'Turn-based strategy (TBS)']",1
"['Fighting', 'Puzzle', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",1
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie']",1
"['Shooter', 'Music', 'Platform', 'Puzzle', 'Role-playing (RPG)', 'Sport', 'Strategy', 'Adventure']",1
"['Fighting', 'Shooter', 'Racing', 'Strategy', 'Adventure']",1
"['Fighting', 'Shooter', 'Racing', 'Simulator', 'Sport', 'Strategy', 'Adventure']",1
"['Fighting', 'Shooter', 'Puzzle', 'Racing', 'Simulator', 'Sport', 'Strategy', 'Adventure']",1
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Indie', 'Arcade']",1
"['Puzzle', 'Racing', 'Quiz/Trivia']",1
"['Racing', 'Quiz/Trivia']",1
"['Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up""]",1
"['Point-and-click', 'Arcade']",1
"['Fighting', 'Shooter', 'Simulator', 'Sport']",1
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",1
"['Simulator', 'Sport', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",1
"['Point-and-click', 'Real Time Strategy (RTS)', 'Strategy', 'Tactical', 'Adventure']",1
"[""Hack and slash/Beat 'em up"", 'Adventure', 'Visual Novel']",1
"['Simulator', 'Strategy', 'Adventure', 'Visual Novel']",1
"['Racing', 'Sport', 'Quiz/Trivia']",1
"['Puzzle', 'Racing', 'Strategy', 'Quiz/Trivia']",1
"['Racing', 'Indie', 'Arcade', 'Card & Board Game']",1
"['Fighting', 'Strategy', 'Quiz/Trivia']",1
"['Racing', 'Sport', 'Pinball']",1
"['Racing', 'Simulator', 'Sport', 'Strategy', 'Adventure']",1
"['Shooter', 'Racing', 'Simulator', 'Sport', 'Indie']",1
"['Fighting', 'Shooter', 'Strategy', 'Adventure', 'Indie']",1
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Indie', 'Arcade']",1
"['Music', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",1
"['Fighting', 'Racing', 'Adventure', 'Indie']",1
"['Role-playing (RPG)', 'Pinball', 'Adventure', 'Indie']",1
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",1
"['Puzzle', 'Simulator', 'Visual Novel']",1
"['Fighting', 'Simulator', 'Adventure', 'Indie', 'Arcade']",1
"['Shooter', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Indie', 'Card & Board Game']",1
"['Fighting', 'Sport', 'Strategy', 'Indie']",1
"['Point-and-click', 'Real Time Strategy (RTS)', 'Strategy', 'Adventure']",1
"['Shooter', 'Puzzle', 'Strategy', 'Indie', 'Arcade']",1
"['Shooter', 'Simulator', 'Adventure', 'Indie', 'Arcade', 'Visual Novel']",1
"['Fighting', 'Shooter', 'Tactical']",1
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Visual Novel', 'Card & Board Game']",1
"['Point-and-click', 'Platform', 'Adventure', 'Arcade']",1
"['Shooter', 'Puzzle', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure']",1
"['Shooter', 'Sport', 'Turn-based strategy (TBS)', 'Indie']",1
"['Sport', 'Arcade', 'Card & Board Game']",1
"['Puzzle', 'Indie', 'Visual Novel']",1
"['Fighting', 'Shooter', 'Platform', 'Strategy', 'Indie', 'Arcade']",1
"['Shooter', 'Music', 'Adventure', 'Indie', 'Arcade']",1
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Card & Board Game']",1
"['Simulator', 'Strategy', 'Visual Novel', 'Card & Board Game']",1
"['Shooter', 'Real Time Strategy (RTS)', 'Strategy', 'Tactical', 'Adventure']",1
"['Fighting', 'Shooter', 'Real Time Strategy (RTS)', 'Sport', 'Strategy', ""Hack and slash/Beat 'em up"", 'Indie']",1
"['Fighting', 'Simulator', 'Adventure', 'Indie']",1
"['Racing', 'Simulator', 'Pinball']",1
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Quiz/Trivia']",1
"['Shooter', 'Platform', 'Puzzle', 'Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure']",1
"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie', 'Arcade', 'Card & Board Game']",1
"['Puzzle', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",1
"['Real Time Strategy (RTS)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Indie']",1
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie']",1
"['Platform', 'Strategy', 'Indie', 'MOBA']",1
"['Shooter', 'Role-playing (RPG)', 'Tactical', 'Arcade']",1
"['Tactical', 'Adventure', 'Indie', 'Arcade']",1
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure']",1
"['Shooter', 'Simulator', 'Tactical', 'Indie']",1
"['Shooter', 'Platform', 'Simulator', 'Strategy', 'Adventure']",1
"['Puzzle', 'Tactical', 'Adventure', 'Indie']",1
"['Fighting', 'Simulator', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",1
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'MOBA']",1
"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",1
"['Fighting', 'Simulator', 'Sport', 'Indie']",1
"['Racing', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie']",1
"['Shooter', 'Puzzle', 'Simulator', 'Indie']",1
"['Point-and-click', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",1
"['Puzzle', 'Role-playing (RPG)', 'Simulator', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",1
"['Fighting', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure']",1
"['Fighting', 'Shooter', 'Simulator', ""Hack and slash/Beat 'em up"", 'Indie']",1
"['Shooter', 'Platform', 'Strategy', 'Adventure']",1
"['Fighting', 'Shooter', 'Music', 'Indie', 'Arcade']",1
"['Puzzle', 'Simulator', 'Sport', 'Strategy', 'Quiz/Trivia', 'Indie', 'Card & Board Game']",1
"['Shooter', 'Platform', 'Puzzle', 'Role-playing (RPG)']",1
"['Music', 'Platform', 'Racing', 'Indie']",1
"['Point-and-click', 'Puzzle', 'Quiz/Trivia', 'Adventure']",1
"['Racing', 'Simulator', 'Strategy', 'Indie', 'Arcade']",1
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Adventure']",1
"['Music', 'Puzzle', 'Indie', 'Card & Board Game']",1
"['Shooter', 'Puzzle', 'Simulator', 'Strategy', 'Tactical']",1
"['Fighting', 'Platform', 'Racing', 'Simulator', 'Sport', 'Adventure', 'Indie']",1
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']",1
"['Racing', 'Role-playing (RPG)', 'Sport', 'Strategy', 'Adventure']",1
"['Shooter', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",1
"['Puzzle', 'Racing', 'Strategy', 'Adventure', 'Indie']",1
"['Real Time Strategy (RTS)', 'Tactical']",1
"['Puzzle', 'Simulator', 'Strategy', 'Adventure', 'Indie', 'Arcade']",1
"['Puzzle', 'Sport', 'Strategy', 'Indie']",1
"['Role-playing (RPG)', 'Strategy', 'Indie', 'Arcade']",1
"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Tactical', ""Hack and slash/Beat 'em up"", 'Indie']",1
"['Point-and-click', 'Music', 'Quiz/Trivia']",1
"['Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Indie']",1
"['Racing', 'Sport', 'Strategy', 'Adventure', 'Indie']",1
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Arcade']",1
"['Role-playing (RPG)', 'Quiz/Trivia', 'Adventure', 'Indie']",1
"['Simulator', 'Sport', 'Adventure', 'Indie', 'Arcade']",1
"['Fighting', 'Simulator', 'Indie', 'Arcade']",1
"['Real Time Strategy (RTS)', 'Tactical', 'Indie', 'Visual Novel']",1
