,genre_list
"['Platform', 'Puzzle', 'Strategy', 'Adventure', 'Indie']",22
"[""Hack and slash/Beat 'em up"", 'Indie']",21
"['Shooter', 'Racing', 'Arcade']",21
['Point-and-click'],21
"['Shooter', 'Strategy', 'Tactical']",20
"['Shooter', 'Simulator', 'Tactical']",20
"['Puzzle', 'Role-playing (RPG)']",20
"['Platform', 'Strategy']",20
"['Puzzle', 'Card & Board Game']",19
"['Shooter', 'Simulator', 'Adventure']",19
"['Platform', 'Racing']",19
"['Simulator', 'Strategy', 'Tactical']",19
"['Platform', 'Puzzle', 'Arcade']",19
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",18
"['Pinball', 'Arcade']",18
"['Sport', 'Indie', 'Arcade']",18
"['Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",18
"['Puzzle', 'Racing']",18
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical']",18
"['Shooter', ""Hack and slash/Beat 'em up"", 'Adventure']",17
"['Platform', 'Puzzle', 'Strategy', 'Indie']",17
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Adventure']",17
"['Sport', 'Quiz/Trivia', 'Card & Board Game']",17
"['Music', 'Adventure']",17
"['Shooter', 'Strategy', 'Adventure']",17
"['Platform', 'Puzzle', 'Strategy', 'Adventure']",16
"['Shooter', 'Strategy', 'Adventure', 'Indie']",16
"['Shooter', 'Role-playing (RPG)', 'Tactical']",16
"['Fighting', 'Indie', 'Arcade']",16
"['Shooter', 'Platform', 'Puzzle']",16
"['Shooter', 'Platform', 'Adventure', 'Indie', 'Arcade']",16
"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",16
"['Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",15
"['Sport', 'Strategy', 'Indie']",15
"['Shooter', 'Platform', 'Adventure', 'Arcade']",15
"['Racing', 'Simulator', 'Arcade']",15
"['Sport', 'Pinball']",15
"['Fighting', 'Strategy']",15
"['Simulator', 'Sport', 'Arcade']",15
"['Racing', 'Indie', 'Arcade']",15
"['Fighting', ""Hack and slash/Beat 'em up"", 'Indie']",15
"['Puzzle', 'Sport']",15
"['Adventure', 'Indie', 'Arcade']",14
"['Shooter', 'Platform', 'Indie', 'Arcade']",14
"['Music', 'Indie', 'Arcade']",14
"['Puzzle', 'Adventure', 'Visual Novel']",14
"['Music', 'Sport']",14
"['Puzzle', 'Strategy', 'Indie', 'Arcade']",14
"['Racing', 'Simulator', 'Adventure', 'Indie']",14
"['Platform', 'Racing', 'Adventure']",14
"['Simulator', 'Indie', 'Arcade']",14
"['Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",14
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy']",13
